target_cluster,source_subject,start,length,auc,cohens_d,mean_dist_target,mean_dist_other,shapelet_pt1,shapelet_pt2,shapelet_pt3,shapelet_pt4,shapelet_pt5
1,115,0,5,0.6641204714098647,0.21641209181653379,3.0261480644631003,3.452890523339568,3.0,3.0,4.0,6.0,6.0
1,135,4,5,0.6612832824094282,0.052578829903847435,2.995768131221931,3.0806684598126526,3.0,3.0,3.0,3.0,6.0
1,133,6,5,0.6558271497162811,0.24663697466835538,2.6314737290831856,3.1445343823391294,3.0,4.0,5.0,5.0,6.0
2,5,2,5,0.7919823232323232,0.9035420873541384,1.4051720420223357,4.0042118087232375,2.0,2.0,1.0,1.0,0.0
2,3,13,5,0.7895923520923521,0.9363873213739698,0.6209331435735465,3.3704592717968467,2.0,2.0,1.0,1.0,1.0
2,1,10,5,0.7886453823953824,0.9420020331525084,0.6129462633349297,3.485865035148619,2.0,1.0,1.0,1.0,1.0
3,7,0,5,0.7438142367719833,0.8542818602644057,3.2502271760525376,4.700987685709785,1.0,1.0,3.0,6.0,6.0
3,7,1,5,0.7352493338408832,0.8403484815054741,3.9996132974734175,5.661047062821382,1.0,3.0,6.0,6.0,8.0
3,155,13,5,0.7089836315188427,0.6928774705565163,4.646747828174685,5.841278589105808,4.0,1.0,3.0,7.0,8.0
