model,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_macro_mean,f1_macro_sd,f1_weighted_mean,f1_weighted_sd
HistGradientBoosting,0.8112554112554113,0.07724304640270517,0.8152777777777779,0.07665369594252383,0.8087046395869926,0.07503831165912439,0.8080008398075625,0.07588697581893031
ExtraTrees,0.814935064935065,0.05745112311682685,0.8125,0.05781838178753158,0.8084734872970166,0.06416785034260965,0.8092956922473729,0.0634176882997336
SparseLogistic,0.7965367965367964,0.08055645217595847,0.7980158730158731,0.08292711945713176,0.7918017331252625,0.08585210109010245,0.793747245984641,0.08368778786896984
RandomForest,0.7876623376623376,0.0514491232097002,0.7918650793650794,0.05190387534367903,0.7817856647423211,0.05329593136260161,0.7783564048037732,0.05475799000595203
LogisticRegression,0.7597402597402597,0.07204176575103388,0.7597222222222222,0.06752156416741253,0.7550657458010399,0.07503222878507862,0.7565774948815438,0.0762050636222413
SVM_RBF,0.7497835497835498,0.09634236713976946,0.75,0.09291798455977898,0.7476883193059664,0.09667033326422385,0.7451663624056672,0.10001501054709816
RidgeClassifier,0.7132034632034632,0.09070988733971669,0.7162698412698413,0.0918479124676406,0.7101541432423785,0.09324141687584198,0.7075244724929599,0.09488027503047784
SVM_Linear,0.7088744588744589,0.09899163436272053,0.7142857142857143,0.094957515854167,0.7077531781943547,0.09902779791881969,0.7068071540970701,0.10247640388644422
KNN_Distance,0.6623376623376623,0.06639374932367872,0.6601190476190476,0.07037391336507956,0.653193854935341,0.07964366977257938,0.6545132177964593,0.07277422916249306
GaussianNB,0.5835497835497836,0.09869644638419012,0.5908730158730158,0.10384987943217792,0.562271824895664,0.09998898475601467,0.5582631913585635,0.09915935991684342
