model,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_macro_mean,f1_macro_sd,f1_weighted_mean,f1_weighted_sd
SparseLogistic,0.8281385281385282,0.059751412333592414,0.8207936507936509,0.06401869823889007,0.8154454349113791,0.06698166244727209,0.8233739709901202,0.06224000022088971
RandomForest,0.819047619047619,0.06433262305991139,0.8087566137566137,0.061461940663675003,0.8083328390449134,0.06360461774895641,0.8158178847430385,0.06487587729901974
HistGradientBoosting,0.8188311688311689,0.07803589837966744,0.8069841269841269,0.08203254906724654,0.8060735113985888,0.08421693900359145,0.813861999791496,0.08175746329490452
ExtraTrees,0.7956709956709956,0.05722369549845045,0.7914947089947091,0.04980665885877864,0.788298378607976,0.055001781343589934,0.7946701446106376,0.057310904269202184
RidgeClassifier,0.7495670995670995,0.0713888414001324,0.750357142857143,0.07039520349027174,0.7438032449719756,0.0703369364001858,0.7474798447166868,0.06880161805390443
SVM_RBF,0.7584415584415585,0.08273823483507585,0.7487830687830688,0.0840998222062324,0.7491455863824286,0.08336553215095263,0.7576473399425834,0.0828411715872799
LogisticRegression,0.7441558441558442,0.08078101999999666,0.7372883597883597,0.07857982707387068,0.7333966099832973,0.07629016118535722,0.742208018980113,0.07608997573392477
KNN_Distance,0.7214285714285714,0.10545788831541383,0.7088095238095238,0.11377746483227484,0.7102522649349275,0.1153468839890344,0.718760598407024,0.1062983026089037
SVM_Linear,0.7173160173160174,0.09667678911814231,0.7058730158730159,0.10035984699994893,0.7026936571054219,0.10033799170494391,0.7147128038189917,0.09653184638961392
GaussianNB,0.5692640692640693,0.07851439672770096,0.5479100529100529,0.08336313773262428,0.5227245272214313,0.10577240332409327,0.5431440613909654,0.09610545726194325
