model,fold,accuracy,balanced_accuracy,f1_macro,f1_weighted
SparseLogistic,0,0.7727272727272727,0.736111111111111,0.721132897603486,0.7462863933452168
SparseLogistic,1,0.8181818181818182,0.8194444444444445,0.8189542483660132,0.8176470588235294
SparseLogistic,2,0.9090909090909091,0.9166666666666666,0.9071320836026718,0.9056825527413763
SparseLogistic,3,0.8636363636363636,0.875,0.8660256410256411,0.8608391608391609
SparseLogistic,4,0.8181818181818182,0.8015873015873017,0.796308954203691,0.8137699620953209
SparseLogistic,5,0.9090909090909091,0.8888888888888888,0.8916666666666666,0.9056818181818183
SparseLogistic,6,0.7142857142857143,0.7164021164021165,0.7037037037037037,0.7142857142857142
SparseLogistic,7,0.8571428571428571,0.8486772486772486,0.8486772486772486,0.8571428571428571
SparseLogistic,8,0.8095238095238095,0.7916666666666666,0.7883986928104575,0.7958683473389355
SparseLogistic,9,0.8095238095238095,0.8134920634920636,0.8124542124542126,0.8165358451072738
LogisticRegression,0,0.8181818181818182,0.7916666666666666,0.787962962962963,0.8050505050505049
LogisticRegression,1,0.7727272727272727,0.7777777777777778,0.773076923076923,0.7734265734265736
LogisticRegression,2,0.6818181818181818,0.6805555555555555,0.6729644624381467,0.673536989326463
LogisticRegression,3,0.7727272727272727,0.7777777777777778,0.7702991452991452,0.7703962703962705
LogisticRegression,4,0.8181818181818182,0.8015873015873017,0.7944219523166892,0.8094712305238619
LogisticRegression,5,0.8636363636363636,0.8518518518518517,0.8478163992869875,0.8617829363150219
LogisticRegression,6,0.6190476190476191,0.5936507936507937,0.6002699055330635,0.622325043377675
LogisticRegression,7,0.6666666666666666,0.6793650793650793,0.6626445449974862,0.67126337714573
LogisticRegression,8,0.7619047619047619,0.75,0.7467320261437909,0.7507002801120448
LogisticRegression,9,0.6666666666666666,0.6686507936507936,0.6777777777777777,0.6841269841269841
SVM_RBF,0,0.8636363636363636,0.8472222222222222,0.8584795321637427,0.8637958532695375
SVM_RBF,1,0.7727272727272727,0.7777777777777778,0.7738095238095238,0.7792207792207791
SVM_RBF,2,0.7727272727272727,0.7638888888888888,0.7638888888888888,0.7727272727272727
SVM_RBF,3,0.6363636363636364,0.625,0.6278966131907309,0.6353913466212933
SVM_RBF,4,0.9090909090909091,0.9047619047619048,0.8968253968253969,0.9080086580086579
SVM_RBF,5,0.7727272727272727,0.7566137566137566,0.7612212349054454,0.7701174423662461
SVM_RBF,6,0.7142857142857143,0.6867724867724867,0.6888888888888888,0.7079365079365079
SVM_RBF,7,0.7142857142857143,0.7269841269841271,0.7139265962795375,0.7176614235437766
SVM_RBF,8,0.7619047619047619,0.7440476190476191,0.7481481481481481,0.7534391534391535
SVM_RBF,9,0.6666666666666666,0.6547619047619048,0.6583710407239819,0.6681749622926094
SVM_Linear,0,0.7272727272727273,0.7083333333333334,0.7063279857397505,0.7209528439474963
SVM_Linear,1,0.8636363636363636,0.875,0.867916397328162,0.8629018040782745
SVM_Linear,2,0.6363636363636364,0.6388888888888888,0.6349206349206349,0.6320346320346321
SVM_Linear,3,0.7272727272727273,0.7222222222222222,0.7222222222222222,0.7272727272727273
SVM_Linear,4,0.5909090909090909,0.5767195767195767,0.5633986928104575,0.5884135472370766
SVM_Linear,5,0.8181818181818182,0.8042328042328042,0.8026143790849675,0.8213903743315508
SVM_Linear,6,0.7142857142857143,0.6677248677248677,0.6798941798941799,0.7101284958427816
SVM_Linear,7,0.7142857142857143,0.7164021164021165,0.7037037037037037,0.7142857142857142
SVM_Linear,8,0.8095238095238095,0.7916666666666666,0.7883986928104575,0.7983193277310925
SVM_Linear,9,0.5714285714285714,0.5575396825396824,0.5575396825396824,0.5714285714285714
RidgeClassifier,0,0.7727272727272727,0.75,0.7529239766081871,0.7607655502392344
RidgeClassifier,1,0.7272727272727273,0.7361111111111112,0.7269841269841271,0.7281385281385281
RidgeClassifier,2,0.8181818181818182,0.8333333333333334,0.8202973497091145,0.8109537521302227
RidgeClassifier,3,0.7272727272727273,0.7361111111111112,0.7297996121525534,0.7312099665040841
RidgeClassifier,4,0.6818181818181818,0.6904761904761904,0.6785714285714285,0.6834415584415584
RidgeClassifier,5,0.8636363636363636,0.8597883597883599,0.8597883597883599,0.8636363636363636
RidgeClassifier,6,0.7142857142857143,0.7164021164021165,0.7102604997341838,0.7111718690666059
RidgeClassifier,7,0.7619047619047619,0.7746031746031746,0.7579365079365079,0.7658730158730158
RidgeClassifier,8,0.8095238095238095,0.7916666666666666,0.7883986928104575,0.7983193277310925
RidgeClassifier,9,0.6190476190476191,0.615079365079365,0.6130718954248366,0.6212885154061625
KNN_Distance,0,0.7272727272727273,0.7083333333333334,0.7167755991285403,0.7213309566250743
KNN_Distance,1,0.9090909090909091,0.9027777777777778,0.9104377104377104,0.9105601469237832
KNN_Distance,2,0.6818181818181818,0.6805555555555555,0.684967320261438,0.6866310160427808
KNN_Distance,3,0.6363636363636364,0.625,0.6351851851851852,0.6383838383838384
