model,fold,accuracy,balanced_accuracy,f1_macro,f1_weighted
SparseLogistic,0,0.7727272727272727,0.75,0.7509259259259259,0.7646464646464647
SparseLogistic,1,0.7272727272727273,0.7222222222222222,0.7217948717948719,0.7314685314685314
SparseLogistic,2,0.6818181818181818,0.6944444444444445,0.6664511958629605,0.6621026032790738
SparseLogistic,3,0.9090909090909091,0.9166666666666666,0.9071320836026718,0.9056825527413763
SparseLogistic,4,0.9090909090909091,0.9166666666666666,0.9107142857142857,0.9082792207792209
SparseLogistic,5,0.7272727272727273,0.7380952380952381,0.7217948717948719,0.716958041958042
SparseLogistic,6,0.8571428571428571,0.8690476190476191,0.86007326007326,0.8542124542124542
SparseLogistic,7,0.7619047619047619,0.7599206349206349,0.7543345543345543,0.7647653933368219
SparseLogistic,8,0.8571428571428571,0.8551587301587302,0.8613636363636363,0.8597402597402597
SparseLogistic,9,0.7619047619047619,0.7579365079365079,0.763432645785587,0.7696169376841646
LogisticRegression,0,0.8181818181818182,0.8055555555555555,0.8086007130124777,0.815994166261546
LogisticRegression,1,0.6818181818181818,0.6805555555555555,0.6793650793650793,0.6891774891774892
LogisticRegression,2,0.6818181818181818,0.6944444444444445,0.6633986928104575,0.6631016042780749
LogisticRegression,3,0.8636363636363636,0.8611111111111112,0.8633986928104576,0.8661319073083779
LogisticRegression,4,0.7727272727272727,0.7738095238095238,0.7714285714285714,0.7727272727272727
LogisticRegression,5,0.6363636363636364,0.6488095238095238,0.6272355095884508,0.6197038255861785
LogisticRegression,6,0.8095238095238095,0.8214285714285715,0.8141025641025642,0.8058608058608059
LogisticRegression,7,0.8095238095238095,0.8015873015873015,0.7962962962962963,0.798941798941799
LogisticRegression,8,0.7619047619047619,0.751984126984127,0.7633986928104575,0.7645191409897292
LogisticRegression,9,0.7619047619047619,0.7579365079365079,0.763432645785587,0.7696169376841646
SVM_RBF,0,0.6363636363636364,0.6388888888888888,0.6427350427350428,0.6284382284382285
SVM_RBF,1,0.7727272727272727,0.7638888888888888,0.7683501683501683,0.7720844811753903
SVM_RBF,2,0.6818181818181818,0.6944444444444445,0.6640211640211641,0.6594516594516594
SVM_RBF,3,0.8636363636363636,0.8611111111111112,0.8581699346405229,0.8604278074866311
SVM_RBF,4,0.8636363636363636,0.8690476190476191,0.8660256410256411,0.8630244755244756
SVM_RBF,5,0.7272727272727273,0.7202380952380952,0.7239057239057239,0.7263544536271809
SVM_RBF,6,0.6666666666666666,0.6825396825396827,0.6777777777777777,0.6634920634920635
SVM_RBF,7,0.6666666666666666,0.6706349206349206,0.6669180492709904,0.660848954966602
SVM_RBF,8,0.9047619047619048,0.8968253968253969,0.907018907018907,0.906056906056906
SVM_RBF,9,0.7142857142857143,0.7023809523809524,0.7019607843137255,0.711484593837535
SVM_Linear,0,0.8181818181818182,0.8194444444444445,0.8147435897435898,0.8188811188811189
SVM_Linear,1,0.6818181818181818,0.6805555555555555,0.6793650793650793,0.6891774891774892
SVM_Linear,2,0.5909090909090909,0.6111111111111112,0.5844017094017094,0.576923076923077
SVM_Linear,3,0.8636363636363636,0.8611111111111112,0.8591880341880342,0.8673659673659674
SVM_Linear,4,0.6363636363636364,0.6428571428571428,0.6309523809523809,0.6282467532467533
SVM_Linear,5,0.5454545454545454,0.5535714285714285,0.5492063492063491,0.5424242424242425
SVM_Linear,6,0.7619047619047619,0.7797619047619048,0.768009768009768,0.7557997557997558
SVM_Linear,7,0.7142857142857143,0.7182539682539683,0.7115384615384616,0.7106227106227107
SVM_Linear,8,0.7619047619047619,0.751984126984127,0.7633986928104575,0.7645191409897292
SVM_Linear,9,0.7142857142857143,0.7242063492063493,0.7167277167277167,0.7141112855398569
RidgeClassifier,0,0.6818181818181818,0.6666666666666666,0.6714285714285714,0.6779220779220778
RidgeClassifier,1,0.7727272727272727,0.7777777777777778,0.7730769230769231,0.7734265734265734
RidgeClassifier,2,0.6363636363636364,0.6527777777777778,0.6309523809523809,0.6233766233766235
RidgeClassifier,3,0.8636363636363636,0.875,0.8558500323206206,0.8557325027913264
RidgeClassifier,4,0.5909090909090909,0.6011904761904762,0.5871794871794872,0.5814685314685315
RidgeClassifier,5,0.6818181818181818,0.6904761904761906,0.6845238095238094,0.6793831168831169
RidgeClassifier,6,0.7142857142857143,0.7103174603174603,0.721056721056721,0.7181707181707182
RidgeClassifier,7,0.6666666666666666,0.6646825396825397,0.6444444444444445,0.6380952380952382
RidgeClassifier,8,0.6666666666666666,0.6626984126984127,0.6697746697746698,0.6668886668886669
RidgeClassifier,9,0.8571428571428571,0.8611111111111112,0.8632543926661573,0.8607806759067264
KNN_Distance,0,0.7727272727272727,0.7638888888888888,0.7683501683501683,0.7720844811753903
KNN_Distance,1,0.7272727272727273,0.7361111111111112,0.7474747474747474,0.7327823691460055
KNN_Distance,2,0.5909090909090909,0.5972222222222222,0.5582491582491582,0.560514233241506
KNN_Distance,3,0.5909090909090909,0.5833333333333334,0.5816239316239317,0.5925407925407925
KNN_Distance,4,0.6363636363636364,0.6488095238095238,0.6309523809523809,0.6217532467532467
KNN_Distance,5,0.5909090909090909,0.5892857142857143,0.596078431372549,0.5957219251336898
KNN_Distance,6,0.7142857142857143,0.7301587301587302,0.7135531135531136,0.7041339612768185
KNN_Distance,7,0.6666666666666666,0.6567460317460317,0.6496544391281233,0.6529961266803371
KNN_Distance,8,0.7142857142857143,0.7103174603174603,0.7241830065359478,0.7197012138188609
KNN_Distance,9,0.6190476190476191,0.5853174603174603,0.5618191721132898,0.5929038281979458
RandomForest,0,0.7727272727272727,0.7777777777777778,0.7702991452991452,0.7703962703962705
RandomForest,1,0.7272727272727273,0.7222222222222222,0.7388888888888889,0.7333333333333333
RandomForest,2,0.7272727272727273,0.7361111111111112,0.7213962508080155,0.7170476582241289
RandomForest,3,0.8181818181818182,0.8194444444444445,0.8148897885739991,0.8132131026867868
RandomForest,4,0.8181818181818182,0.8333333333333334,0.8055555555555555,0.7992424242424242
RandomForest,5,0.7272727272727273,0.7380952380952381,0.7217948717948719,0.716958041958042
RandomForest,6,0.8571428571428571,0.875,0.8557692307692308,0.8484432234432235
RandomForest,7,0.7619047619047619,0.7619047619047619,0.7225071225071226,0.7166463166463166
RandomForest,8,0.8571428571428571,0.8412698412698413,0.8470588235294118,0.853781512605042
RandomForest,9,0.8095238095238095,0.8134920634920636,0.8196969696969697,0.8145021645021645
ExtraTrees,0,0.7727272727272727,0.75,0.7462962962962963,0.7595959595959595
ExtraTrees,1,0.8181818181818182,0.8333333333333334,0.8243589743589744,0.8153846153846154
ExtraTrees,2,0.7272727272727273,0.7361111111111112,0.701058201058201,0.6998556998556998
ExtraTrees,3,0.8636363636363636,0.8472222222222222,0.8549019607843137,0.8598930481283422
ExtraTrees,4,0.8636363636363636,0.8690476190476191,0.8660256410256411,0.8630244755244756
ExtraTrees,5,0.8181818181818182,0.8214285714285715,0.8190476190476191,0.8181818181818182
ExtraTrees,6,0.9047619047619048,0.9027777777777778,0.9027777777777778,0.9047619047619048
ExtraTrees,7,0.7619047619047619,0.746031746031746,0.7438487438487439,0.7515447515447515
ExtraTrees,8,0.8571428571428571,0.8472222222222222,0.85,0.8535714285714286
ExtraTrees,9,0.7619047619047619,0.7718253968253969,0.7764196587725999,0.7671432209247335
HistGradientBoosting,0,0.7727272727272727,0.7638888888888888,0.7638888888888888,0.7727272727272727
HistGradientBoosting,1,0.7272727272727273,0.7222222222222222,0.7241830065359477,0.7294117647058823
HistGradientBoosting,2,0.6818181818181818,0.6944444444444445,0.6841880341880341,0.6764568764568765
HistGradientBoosting,3,0.8636363636363636,0.875,0.8558500323206206,0.8557325027913264
HistGradientBoosting,4,0.7727272727272727,0.7797619047619048,0.7799145299145299,0.7747668997668998
HistGradientBoosting,5,0.8181818181818182,0.8273809523809524,0.815873015873016,0.8112554112554112
HistGradientBoosting,6,0.8571428571428571,0.875,0.8557692307692308,0.8484432234432235
HistGradientBoosting,7,0.8571428571428571,0.8571428571428571,0.8464128464128464,0.8447848447848448
HistGradientBoosting,8,0.9523809523809523,0.9444444444444445,0.9474747474747475,0.9518037518037519
HistGradientBoosting,9,0.8095238095238095,0.8134920634920636,0.8134920634920636,0.8146258503401361
GaussianNB,0,0.5454545454545454,0.5555555555555555,0.546031746031746,0.5437229437229437
GaussianNB,1,0.6363636363636364,0.6527777777777778,0.6131354026090868,0.5989449147343884
GaussianNB,2,0.6363636363636364,0.6527777777777778,0.6040552584670231,0.6021511910549343
GaussianNB,3,0.5454545454545454,0.5416666666666666,0.5211640211640212,0.523088023088023
GaussianNB,4,0.6818181818181818,0.7023809523809524,0.6425925925925925,0.6315656565656566
GaussianNB,5,0.4090909090909091,0.4226190476190476,0.3957264957264957,0.38473193473193473
GaussianNB,6,0.7142857142857143,0.7261904761904763,0.7028265851795265,0.6956237040270653
GaussianNB,7,0.47619047619047616,0.47222222222222215,0.4329004329004329,0.42547928262213974
GaussianNB,8,0.6666666666666666,0.6706349206349206,0.6603174603174603,0.6580498866213152
GaussianNB,9,0.5238095238095238,0.5119047619047619,0.503968253968254,0.5192743764172335
