model,fold,accuracy,balanced_accuracy,f1_macro,f1_weighted
SparseLogistic,0,0.6818181818181818,0.6805555555555555,0.6868686868686869,0.6831955922865013
SparseLogistic,1,0.6818181818181818,0.6805555555555555,0.6980392156862746,0.688770053475936
SparseLogistic,2,0.7727272727272727,0.7777777777777778,0.7751322751322752,0.7698412698412699
SparseLogistic,3,0.6363636363636364,0.6527777777777778,0.642964878258996,0.6314861608979256
SparseLogistic,4,0.6818181818181818,0.6984126984126983,0.6748545572074983,0.6693894340953165
SparseLogistic,5,0.7727272727272727,0.7671957671957671,0.7669340463458111,0.7738818667963052
SparseLogistic,6,0.5238095238095238,0.5386243386243386,0.5256410256410257,0.5293040293040294
SparseLogistic,7,0.6190476190476191,0.6042328042328042,0.596078431372549,0.6140056022408964
SparseLogistic,8,0.8095238095238095,0.7996031746031745,0.8083333333333332,0.8119047619047619
SparseLogistic,9,0.6190476190476191,0.6190476190476191,0.6071428571428571,0.6105442176870748
LogisticRegression,0,0.7272727272727273,0.7222222222222222,0.7388888888888889,0.7333333333333333
LogisticRegression,1,0.6818181818181818,0.6805555555555555,0.6805555555555555,0.6818181818181818
LogisticRegression,2,0.7272727272727273,0.7222222222222222,0.7261335156071999,0.7260299509103337
LogisticRegression,3,0.5909090909090909,0.5972222222222222,0.5823211875843455,0.5793154214206845
LogisticRegression,4,0.7272727272727273,0.746031746031746,0.7217948717948719,0.7208041958041959
LogisticRegression,5,0.6818181818181818,0.6825396825396824,0.6797385620915032,0.6827094474153298
LogisticRegression,6,0.47619047619047616,0.49100529100529094,0.47737556561085975,0.4782374488256841
LogisticRegression,7,0.5238095238095238,0.5386243386243386,0.5256410256410257,0.5293040293040294
LogisticRegression,8,0.7619047619047619,0.7440476190476191,0.7467320261437909,0.7542016806722689
LogisticRegression,9,0.6190476190476191,0.6130952380952381,0.611111111111111,0.619047619047619
SVM_RBF,0,0.7272727272727273,0.7083333333333334,0.7167755991285403,0.7213309566250743
SVM_RBF,1,0.7272727272727273,0.7222222222222222,0.7261366084895498,0.7362049714990891
SVM_RBF,2,0.7272727272727273,0.7222222222222222,0.7261335156071999,0.7260299509103337
SVM_RBF,3,0.5909090909090909,0.5833333333333334,0.5883040935672513,0.5872408293460925
SVM_RBF,4,0.8181818181818182,0.8306878306878307,0.8154761904761906,0.8189935064935064
SVM_RBF,5,0.6818181818181818,0.6534391534391534,0.6590964590964591,0.6711288711288711
SVM_RBF,6,0.5238095238095238,0.528042328042328,0.5239234449760765,0.5221007063112326
SVM_RBF,7,0.6666666666666666,0.6412698412698412,0.6412698412698412,0.6666666666666666
SVM_RBF,8,0.7619047619047619,0.7440476190476191,0.7467320261437909,0.7542016806722689
SVM_RBF,9,0.6190476190476191,0.6190476190476191,0.611111111111111,0.6126984126984127
SVM_Linear,0,0.7272727272727273,0.7361111111111112,0.7297996121525534,0.7262149615090792
SVM_Linear,1,0.7272727272727273,0.7222222222222222,0.7238095238095239,0.7376623376623376
SVM_Linear,2,0.7727272727272727,0.7777777777777778,0.7690152984270631,0.7689957101721808
SVM_Linear,3,0.6363636363636364,0.6666666666666666,0.6324786324786325,0.6293706293706294
SVM_Linear,4,0.6363636363636364,0.6243386243386243,0.6179084073820915,0.6308332815509848
SVM_Linear,5,0.8181818181818182,0.8148148148148149,0.8086007130124777,0.8183337384540593
SVM_Linear,6,0.5238095238095238,0.5386243386243386,0.5329311211664153,0.5337930043812397
SVM_Linear,7,0.5714285714285714,0.5862433862433862,0.5714285714285715,0.5714285714285714
SVM_Linear,8,0.7619047619047619,0.7440476190476191,0.7481481481481481,0.7534391534391535
SVM_Linear,9,0.5714285714285714,0.5575396825396824,0.5517676767676768,0.5642135642135642
RidgeClassifier,0,0.6818181818181818,0.6805555555555555,0.6940170940170941,0.6843822843822843
RidgeClassifier,1,0.7727272727272727,0.7777777777777778,0.7745098039215685,0.7691622103386809
RidgeClassifier,2,0.8181818181818182,0.8333333333333334,0.8106162843004948,0.800392589866274
RidgeClassifier,3,0.5,0.5,0.49278172807584575,0.49562202503378977
RidgeClassifier,4,0.6363636363636364,0.671957671957672,0.6309523809523809,0.6201298701298701
RidgeClassifier,5,0.7272727272727273,0.7380952380952381,0.7297996121525534,0.7258329905388728
RidgeClassifier,6,0.5238095238095238,0.5386243386243386,0.528657616892911,0.5258564964447319
RidgeClassifier,7,0.5714285714285714,0.5968253968253968,0.5633699633699634,0.5665096807953951
RidgeClassifier,8,0.6190476190476191,0.6051587301587301,0.5917755991285403,0.6003734827264239
RidgeClassifier,9,0.6190476190476191,0.6130952380952381,0.6191553544494721,0.623357035121741
KNN_Distance,0,0.6363636363636364,0.625,0.6410818713450291,0.638755980861244
KNN_Distance,1,0.8181818181818182,0.8055555555555555,0.8175925925925926,0.8191919191919191
KNN_Distance,2,0.5909090909090909,0.5694444444444444,0.5648395721925134,0.5831307729703451
KNN_Distance,3,0.5454545454545454,0.5277777777777778,0.5254901960784314,0.5368983957219252
KNN_Distance,4,0.8181818181818182,0.8333333333333334,0.8194444444444445,0.8125
KNN_Distance,5,0.45454545454545453,0.4682539682539682,0.4650262018683071,0.4580562977692164
KNN_Distance,6,0.5714285714285714,0.5756613756613757,0.5756613756613757,0.5714285714285714
KNN_Distance,7,0.5714285714285714,0.5079365079365079,0.4605263157894737,0.5206766917293233
KNN_Distance,8,0.7619047619047619,0.75,0.744973544973545,0.7572184429327286
KNN_Distance,9,0.7142857142857143,0.7162698412698413,0.725,0.7166666666666667
RandomForest,0,0.6818181818181818,0.6805555555555555,0.6868686868686869,0.6831955922865013
RandomForest,1,0.6363636363636364,0.6388888888888888,0.6309523809523809,0.6363636363636364
RandomForest,2,0.8181818181818182,0.8194444444444445,0.8194444444444445,0.8181818181818182
RandomForest,3,0.5909090909090909,0.5972222222222222,0.5978835978835979,0.5916305916305916
RandomForest,4,0.8636363636363636,0.8492063492063493,0.8499775078722447,0.8625015335541651
RandomForest,5,0.6818181818181818,0.6904761904761904,0.6904761904761904,0.6818181818181818
RandomForest,6,0.6190476190476191,0.671957671957672,0.621001221001221,0.6037676609105181
RandomForest,7,0.7142857142857143,0.707936507936508,0.7019607843137255,0.7120448179271709
RandomForest,8,0.7619047619047619,0.7579365079365079,0.7686274509803922,0.7686274509803921
RandomForest,9,0.6666666666666666,0.6805555555555555,0.648148148148148,0.6402116402116402
ExtraTrees,0,0.7727272727272727,0.7777777777777778,0.7867395762132604,0.7756167277698378
ExtraTrees,1,0.6818181818181818,0.6805555555555555,0.6785175608705022,0.6842569195510372
ExtraTrees,2,0.7727272727272727,0.7638888888888888,0.7566137566137566,0.7647907647907648
ExtraTrees,3,0.5454545454545454,0.5416666666666666,0.5470142602495544,0.5471560525036462
ExtraTrees,4,0.6363636363636364,0.6243386243386243,0.6222222222222222,0.6272727272727273
ExtraTrees,5,0.7272727272727273,0.7089947089947088,0.7142191142191142,0.7214240305149396
ExtraTrees,6,0.6190476190476191,0.6423280423280423,0.6234288587229764,0.6159592041944983
ExtraTrees,7,0.6666666666666666,0.6603174603174603,0.6552075375604788,0.6704863763687293
ExtraTrees,8,0.7619047619047619,0.751984126984127,0.7633986928104575,0.7645191409897292
ExtraTrees,9,0.6666666666666666,0.6746031746031745,0.6626984126984127,0.6581632653061225
HistGradientBoosting,0,0.7272727272727273,0.6944444444444443,0.6916666666666668,0.7090909090909091
HistGradientBoosting,1,0.7272727272727273,0.7222222222222222,0.7313131313131315,0.7316804407713497
HistGradientBoosting,2,0.9090909090909091,0.9027777777777778,0.9026143790849673,0.9089126559714795
HistGradientBoosting,3,0.5454545454545454,0.5416666666666666,0.5470142602495544,0.5471560525036462
HistGradientBoosting,4,0.8636363636363636,0.8783068783068783,0.8660256410256411,0.8698426573426574
HistGradientBoosting,5,0.6818181818181818,0.6904761904761904,0.6825396825396824,0.6796536796536796
HistGradientBoosting,6,0.7142857142857143,0.7058201058201058,0.7024531024531026,0.6988249845392703
HistGradientBoosting,7,0.5714285714285714,0.5650793650793651,0.5590111642743222,0.5715424925951241
HistGradientBoosting,8,0.7619047619047619,0.7579365079365079,0.7686274509803922,0.7686274509803921
