model,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_macro_mean,f1_macro_sd,f1_weighted_mean,f1_weighted_sd
HistGradientBoosting,0.7264069264069264,0.11236062104538984,0.7216666666666666,0.1149170201013694,0.7209201986523969,0.11399329627178334,0.724723608535327,0.11366844393831445
RandomForest,0.7034632034632035,0.08751895946381488,0.7094179894179894,0.07816879120852455,0.7015340412941031,0.08552982344447575,0.6998342923864616,0.09096398173884081
ExtraTrees,0.685064935064935,0.07450870565386225,0.6826455026455026,0.07197265941716538,0.6810059992180736,0.07492155570169766,0.6829645209262032,0.07469788087248819
SparseLogistic,0.6798701298701298,0.08673897157746253,0.6818783068783068,0.08297045465370557,0.6781989306989307,0.08881506254959791,0.6782322988530016,0.08736565647203835
SVM_Linear,0.6746753246753248,0.10020317767201094,0.6768386243386243,0.09644729800284943,0.6685887704773154,0.09898222970820089,0.6734284952181799,0.09945972313676922
SVM_RBF,0.6844155844155845,0.08726759263241901,0.6752645502645502,0.0877554429321389,0.6754958889866011,0.08670775721418184,0.6816596552351548,0.0882584411643633
RidgeClassifier,0.646969696969697,0.10378305738587695,0.655542328042328,0.10536309031876595,0.6435635437260825,0.10585214638333965,0.6411618665378064,0.10178893568182129
LogisticRegression,0.6517316017316017,0.09604066273789232,0.6537566137566138,0.08955557667317106,0.6490292310029152,0.09508759270124,0.650480130855166,0.0946927619726237
KNN_Distance,0.6482683982683983,0.12398586318043753,0.6379232804232804,0.1297579876868885,0.6339636114945713,0.1363607757037055,0.641452373927194,0.12796355471187912
GaussianNB,0.5,0.09567980997965517,0.4803968253968254,0.09385986719600085,0.451005462707576,0.10532180845416245,0.46849386290348616,0.09984737930752097
