prefix_minutes,model,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_macro_mean,f1_macro_sd,f1_weighted_mean,f1_weighted_sd
0,ExtraTrees,0.6151515151515151,0.08085831256727338,0.6319576719576719,0.06429107280802727,0.609657423473213,0.07531073436256965,0.6000363823159448,0.0853672533879896
3,HistGradientBoosting,0.7264069264069264,0.11236062104538984,0.7216666666666666,0.1149170201013694,0.7209201986523969,0.11399329627178334,0.724723608535327,0.11366844393831445
5,ExtraTrees,0.7915584415584416,0.09690187150752565,0.7895634920634921,0.09259083835576833,0.7844817431736936,0.0948901132352608,0.7893808414146861,0.10023551700276709
8,SparseLogistic,0.8281385281385282,0.059751412333592414,0.8207936507936509,0.06401869823889007,0.8154454349113791,0.06698166244727209,0.8233739709901202,0.06224000022088971
20,SparseLogistic,0.9021645021645022,0.05267251765755517,0.89744708994709,0.055764006975218675,0.8978737711090652,0.05366855503000578,0.9016865071945286,0.05296595094351391
