model,true_cluster,predicted_cluster,count
SparseLogistic,0,0,40
SparseLogistic,0,1,10
SparseLogistic,0,2,8
SparseLogistic,1,0,11
SparseLogistic,1,1,53
SparseLogistic,1,2,20
SparseLogistic,2,0,7
SparseLogistic,2,1,13
SparseLogistic,2,2,54
LogisticRegression,0,0,38
LogisticRegression,0,1,10
LogisticRegression,0,2,10
LogisticRegression,1,0,14
LogisticRegression,1,1,54
LogisticRegression,1,2,16
LogisticRegression,2,0,10
LogisticRegression,2,1,15
LogisticRegression,2,2,49
SVM_RBF,0,0,34
SVM_RBF,0,1,15
SVM_RBF,0,2,9
SVM_RBF,1,0,11
SVM_RBF,1,1,63
SVM_RBF,1,2,10
SVM_RBF,2,0,6
SVM_RBF,2,1,17
SVM_RBF,2,2,51
SVM_Linear,0,0,39
SVM_Linear,0,1,13
SVM_Linear,0,2,6
SVM_Linear,1,0,17
SVM_Linear,1,1,54
SVM_Linear,1,2,13
SVM_Linear,2,0,14
SVM_Linear,2,1,7
SVM_Linear,2,2,53
RidgeClassifier,0,0,40
RidgeClassifier,0,1,11
RidgeClassifier,0,2,7
RidgeClassifier,1,0,19
RidgeClassifier,1,1,43
RidgeClassifier,1,2,22
RidgeClassifier,2,0,7
RidgeClassifier,2,1,10
RidgeClassifier,2,2,57
KNN_Distance,0,0,29
KNN_Distance,0,1,14
KNN_Distance,0,2,15
KNN_Distance,1,0,8
KNN_Distance,1,1,54
KNN_Distance,1,2,22
KNN_Distance,2,0,5
KNN_Distance,2,1,12
KNN_Distance,2,2,57
RandomForest,0,0,43
RandomForest,0,1,8
RandomForest,0,2,7
RandomForest,1,0,11
RandomForest,1,1,53
RandomForest,1,2,20
RandomForest,2,0,8
RandomForest,2,1,10
RandomForest,2,2,56
ExtraTrees,0,0,39
ExtraTrees,0,1,10
ExtraTrees,0,2,9
ExtraTrees,1,0,9
ExtraTrees,1,1,58
ExtraTrees,1,2,17
ExtraTrees,2,0,9
ExtraTrees,2,1,14
ExtraTrees,2,2,51
HistGradientBoosting,0,0,40
HistGradientBoosting,0,1,7
HistGradientBoosting,0,2,11
HistGradientBoosting,1,0,11
HistGradientBoosting,1,1,64
HistGradientBoosting,1,2,9
HistGradientBoosting,2,0,6
HistGradientBoosting,2,1,15
HistGradientBoosting,2,2,53
GaussianNB,0,0,11
GaussianNB,0,1,12
GaussianNB,0,2,35
GaussianNB,1,0,5
GaussianNB,1,1,38
GaussianNB,1,2,41
GaussianNB,2,0,6
GaussianNB,2,1,9
GaussianNB,2,2,59
