edge_type,source,target,weight
symptom_disease,vomiting,Unspecified Functional GI Symptom Pattern,7
symptom_disease,belching,Irritable Bowel Syndrome-like,2
symptom_disease,tenesmus,Irritable Bowel Syndrome-like,4
symptom_disease,abdominal pain,Functional Constipation / Defecatory Disorder-like,4
symptom_disease,belching,Functional Constipation / Defecatory Disorder-like,1
symptom_disease,vomiting,Functional Constipation / Defecatory Disorder-like,3
symptom_region,vomiting,left hypochondrium,4
symptom_region,irritability,left hypochondrium,6
symptom_region,abdominal pain,right inguinal,5
symptom_region,abdominal pain,left inguinal,3
symptom_region,acid regurgitation,right inguinal,3
symptom_region,acid regurgitation,left inguinal,3
symptom_region,belching,right lumbar,5
symptom_region,belching,right inguinal,2
symptom_region,belching,left inguinal,2
symptom_region,heartburn,right inguinal,1
symptom_region,heartburn,left inguinal,1
symptom_region,nausea,right inguinal,2
symptom_region,nausea,left inguinal,1
symptom_region,vomiting,right lumbar,4
symptom_region,tenesmus,left hypochondrium,2
symptom_region,tenesmus,right lumbar,2
symptom_disease,nausea,Functional Constipation / Defecatory Disorder-like,4
region_disease,left hypochondrium,Functional Constipation / Defecatory Disorder-like,1
region_disease,right lumbar,Functional Constipation / Defecatory Disorder-like,2
symptom_region,abdominal distension,right inguinal,3
symptom_region,abdominal distension,left inguinal,1
symptom_region,vomiting,right inguinal,2
symptom_region,vomiting,left inguinal,1
region_disease,right inguinal,Functional Abdominal Bloating/Distension-like,2
region_disease,left inguinal,Functional Abdominal Bloating/Distension-like,2
symptom_region,loss of appetite,left hypochondrium,3
symptom_region,loss of appetite,right lumbar,2
symptom_disease,loss of appetite,Functional Constipation / Defecatory Disorder-like,1
symptom_disease,heartburn,Unspecified Functional GI Symptom Pattern,2
region_disease,left hypochondrium,Unspecified Functional GI Symptom Pattern,3
region_disease,right lumbar,Unspecified Functional GI Symptom Pattern,5
symptom_region,nausea,umbilical,1
symptom_region,nausea,left lumbar,1
symptom_region,palpitations,right lumbar,4
symptom_region,belching,left hypochondrium,2
symptom_disease,palpitations,Irritable Bowel Syndrome-like,2
symptom_disease,bloating,Unspecified Functional GI Symptom Pattern,2
symptom_region,bloating,right inguinal,1
symptom_region,bloating,left inguinal,1
symptom_disease,palpitations,Functional Constipation / Defecatory Disorder-like,1
symptom_disease,tenesmus,Unspecified Functional GI Symptom Pattern,2
region_disease,right inguinal,Biliary Pain-like,1
symptom_region,belching,epigastrium,1
symptom_region,tenesmus,epigastrium,1
symptom_region,palpitations,epigastrium,1
symptom_region,irritability,epigastrium,1
region_disease,epigastrium,Unspecified Functional GI Symptom Pattern,1
symptom_disease,belching,Belching Disorder,1
symptom_disease,tenesmus,Belching Disorder,1
symptom_disease,palpitations,Belching Disorder,1
symptom_disease,irritability,Belching Disorder,1
region_disease,epigastrium,Belching Disorder,1
region_disease,right hypochondrium,Belching Disorder,1
symptom_region,tenesmus,left lumbar,1
