model,fold,accuracy,balanced_accuracy,f1_macro,f1_weighted
SparseLogistic,0,0.5909090909090909,0.5972222222222222,0.6105263157894737,0.5933014354066986
SparseLogistic,1,0.5909090909090909,0.5972222222222222,0.605169340463458,0.5940690325717064
SparseLogistic,2,0.7272727272727273,0.75,0.707843137254902,0.6994652406417112
SparseLogistic,3,0.6818181818181818,0.6944444444444445,0.6904761904761904,0.6774891774891775
SparseLogistic,4,0.5909090909090909,0.6058201058201058,0.5849673202614379,0.5815508021390374
SparseLogistic,5,0.45454545454545453,0.4947089947089947,0.4516339869281046,0.42860962566844923
SparseLogistic,6,0.6190476190476191,0.652910052910053,0.6178266178266179,0.6136403279260422
SparseLogistic,7,0.42857142857142855,0.46455026455026455,0.4332112332112332,0.4146520146520147
SparseLogistic,8,0.47619047619047616,0.48809523809523814,0.4695674695674696,0.4582454582454582
SparseLogistic,9,0.5238095238095238,0.5238095238095238,0.545751633986928,0.5364145658263306
LogisticRegression,0,0.5909090909090909,0.5972222222222222,0.6185185185185186,0.602020202020202
LogisticRegression,1,0.5909090909090909,0.5972222222222222,0.6053872053872054,0.5943067033976125
LogisticRegression,2,0.6363636363636364,0.6388888888888888,0.6349206349206349,0.6320346320346321
LogisticRegression,3,0.5,0.5138888888888888,0.49167791273054423,0.48043184885290147
LogisticRegression,4,0.45454545454545453,0.4761904761904762,0.4583333333333333,0.44561688311688313
LogisticRegression,5,0.5,0.5132275132275133,0.5052910052910052,0.4967532467532468
LogisticRegression,6,0.5238095238095238,0.5682539682539682,0.528937728937729,0.5126111983254841
LogisticRegression,7,0.3333333333333333,0.3798941798941799,0.3411477411477411,0.3098901098901099
LogisticRegression,8,0.5238095238095238,0.5297619047619048,0.528042328042328,0.5198790627362057
LogisticRegression,9,0.38095238095238093,0.3849206349206349,0.3833333333333333,0.3761904761904762
SVM_RBF,0,0.6363636363636364,0.6388888888888888,0.6424242424242425,0.6347107438016528
SVM_RBF,1,0.5454545454545454,0.5138888888888888,0.49603174603174605,0.5183982683982684
SVM_RBF,2,0.6818181818181818,0.6805555555555555,0.6891587944219523,0.6912035333087965
SVM_RBF,3,0.5,0.5,0.5095238095238096,0.5012987012987012
SVM_RBF,4,0.5909090909090909,0.6164021164021164,0.5904761904761905,0.5818181818181819
SVM_RBF,5,0.45454545454545453,0.4682539682539682,0.4619694031458737,0.4520773344302756
SVM_RBF,6,0.38095238095238093,0.3957671957671957,0.3888888888888889,0.3698412698412698
SVM_RBF,7,0.42857142857142855,0.45396825396825397,0.43815987933635,0.42415427709545356
SVM_RBF,8,0.6190476190476191,0.6130952380952381,0.6183006535947713,0.6177404295051353
SVM_RBF,9,0.42857142857142855,0.44642857142857145,0.4255156608097785,0.40634435592418783
SVM_Linear,0,0.45454545454545453,0.47222222222222215,0.4489428699955016,0.4291497975708502
SVM_Linear,1,0.5,0.5138888888888888,0.5132275132275133,0.49927849927849927
SVM_Linear,2,0.7272727272727273,0.7361111111111112,0.7269841269841271,0.7281385281385281
SVM_Linear,3,0.6363636363636364,0.6527777777777778,0.638095238095238,0.6311688311688312
SVM_Linear,4,0.5454545454545454,0.5502645502645503,0.5441595441595442,0.541958041958042
SVM_Linear,5,0.5909090909090909,0.6058201058201058,0.5954415954415956,0.583916083916084
SVM_Linear,6,0.5238095238095238,0.5682539682539682,0.5352564102564102,0.5123626373626374
SVM_Linear,7,0.42857142857142855,0.4941798941798942,0.41953601953601954,0.38339438339438336
SVM_Linear,8,0.6190476190476191,0.5992063492063492,0.5972222222222222,0.6051587301587301
SVM_Linear,9,0.47619047619047616,0.47420634920634913,0.4684343434343434,0.46897546897546893
RidgeClassifier,0,0.5454545454545454,0.5555555555555555,0.560942760942761,0.545821854912764
RidgeClassifier,1,0.5,0.5138888888888888,0.5242869875222816,0.5058337384540593
RidgeClassifier,2,0.5454545454545454,0.5833333333333334,0.5428571428571429,0.5194805194805195
RidgeClassifier,3,0.4090909090909091,0.4166666666666667,0.4176470588235294,0.4101604278074866
RidgeClassifier,4,0.4090909090909091,0.43915343915343913,0.41269841269841273,0.39220779220779217
RidgeClassifier,5,0.4090909090909091,0.43915343915343913,0.4166666666666667,0.3944805194805195
RidgeClassifier,6,0.47619047619047616,0.51005291005291,0.4744884744884745,0.4582084582084582
RidgeClassifier,7,0.3333333333333333,0.3798941798941799,0.3444444444444444,0.3190476190476191
RidgeClassifier,8,0.42857142857142855,0.44642857142857145,0.4128123338649654,0.3947748158274474
RidgeClassifier,9,0.42857142857142855,0.4484126984126984,0.4326923076923077,0.418040293040293
