code,label,n,percent_of_participants
2,right hypochondrium,140,64.8
5,hypogastrium,92,42.6
3,left hypochondrium,50,23.1
6,right lumbar,43,19.9
8,right inguinal,7,3.2
9,left inguinal,5,2.3
1,epigastrium,2,0.9
4,umbilical,2,0.9
7,left lumbar,2,0.9
