model,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_macro_mean,f1_macro_sd,f1_weighted_mean,f1_weighted_sd
ExtraTrees,0.6151515151515151,0.08085831256727338,0.6319576719576719,0.06429107280802727,0.609657423473213,0.07531073436256965,0.6000363823159448,0.0853672533879896
SparseLogistic,0.5683982683982685,0.09729404458214676,0.5868783068783069,0.09446177077396319,0.5716973245765815,0.09561116907959594,0.5597437680566626,0.09897515785070864
RandomForest,0.5593073593073593,0.07765573636068848,0.5846957671957671,0.076006412089773,0.5491582225250956,0.06965463602182825,0.534859516692324,0.07586469305516488
HistGradientBoosting,0.5636363636363637,0.13702512546847478,0.5725396825396826,0.13263886204838246,0.5708053928642164,0.13171423132134158,0.5612593378101399,0.13647375478560858
SVM_Linear,0.5502164502164503,0.09299693701112922,0.5666931216931217,0.08465511555147838,0.5487299883352514,0.09360255810346318,0.5383501001922054,0.10227326754915038
SVM_RBF,0.5266233766233765,0.10301580125992808,0.5327248677248677,0.09693941799547445,0.5260449268653603,0.10259623692050093,0.5197587095421923,0.10824906794612824
LogisticRegression,0.5034632034632034,0.09437163244270558,0.5199470899470899,0.08715464269108199,0.5095589741642372,0.09703677350143278,0.4969734363317754,0.10111554689562095
KNN_Distance,0.5173160173160174,0.13173662740316625,0.5182804232804232,0.1318952628911999,0.5108825797525488,0.14496250660628524,0.5076433003578071,0.1423006108350849
RidgeClassifier,0.44848484848484843,0.06744237401324985,0.47325396825396826,0.06452986589920176,0.45395365900009865,0.06933522373347549,0.43580560384669587,0.0702445412704203
GaussianNB,0.37532467532467534,0.08327131116486393,0.37371693121693117,0.08272982219508346,0.31293519202214853,0.09351403097850719,0.3099880757509216,0.09019028566237101
